 #Air Temperature Distribution
 #Number of hourly occurences
 #Temperatures degree Celsius top row (-30 to -25...-25 to -20,...
Month/Year,-30,-25,-20,-15,-10, -5,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45
9/1987,  0,  0,  0,  0,  0,  0,  0,  0, 13,121,322,234, 30,  0,  0,  0
10/1987,  0,  0,  0,  0,  0,  1, 34,144,201,216,138, 10,  0,  0,  0,  0
11/1987,  0,  0,  0,  0,  0, 23, 73,160,177,199, 80,  8,  0,  0,  0,  0
12/1987,  0,  0,  0,  1,  2, 58,112,177,201,154, 36,  3,  0,  0,  0,  0
1/1988,  0,  0,  0,  0, 10,211,231,130, 85, 66, 11,  0,  0,  0,  0,  0
2/1988,  0,  0,  0,  0, 11, 68,150,211,140,108,  8,  0,  0,  0,  0,  0
3/1988,  0,  0,  0,  0,  0, 24, 80,181,190,190, 78,  1,  0,  0,  0,  0
4/1988,  0,  0,  0,  0,  0,  0,  1, 99,147,245,172, 56,  0,  0,  0,  0
5/1988,  0,  0,  0,  0,  0,  0,  0, 11, 92,229,239,171,  2,  0,  0,  0
6/1988,  0,  0,  0,  0,  0,  0,  0,  0, 19, 83,253,259,101,  5,  0,  0
7/1988,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,270,349,119,  0,  0,  0
8/1988,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,253,360,131,  0,  0,  0
9/1988,  0,  0,  0,  0,  0,  0,  0,  2, 18, 81,298,275, 46,  0,  0,  0
10/1988,  0,  0,  0,  0,  0,  0,  3, 83,236,274,134, 14,  0,  0,  0,  0
11/1988,  0,  0,  0,  0,  0,  4, 61,139,179,193,124, 20,  0,  0,  0,  0
12/1988,  0,  0,  0,  0,  0, 76,194,193,170, 92, 19,  0,  0,  0,  0,  0
1/1989,  0,  0,  0,  0,  0, 15,133,190,213,156, 35,  2,  0,  0,  0,  0
2/1989,  0,  0,  0,  0, 10,163, 85,140,116,102, 46, 10,  0,  0,  0,  0
3/1989,  0,  0,  0,  0,  0, 44, 51,144,189,174,119, 23,  0,  0,  0,  0
4/1989,  0,  0,  0,  0,  0,  5, 29,115,162,199,137, 73,  0,  0,  0,  0
5/1989,  0,  0,  0,  0,  0,  0,  0, 25, 79,179,270,159, 32,  0,  0,  0
6/1989,  0,  0,  0,  0,  0,  0,  0,  0,  0, 46,388,275, 11,  0,  0,  0
7/1989,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,356,364, 24,  0,  0,  0
8/1989,  0,  0,  0,  0,  0,  0,  0,  0,  0, 39,245,403, 57,  0,  0,  0
9/1989,  0,  0,  0,  0,  0,  0,  0, 10, 44,206,248,190, 22,  0,  0,  0
10/1989,  0,  0,  0,  0,  0,  0, 35, 60,171,218,200, 60,  0,  0,  0,  0
11/1989,  0,  0,  0,  0,  0, 26, 98,129,168,203, 94,  2,  0,  0,  0,  0
12/1989,  0,  0,  6, 47, 28,209,160,117,146, 31,  0,  0,  0,  0,  0,  0
1/1990,  0,  0,  0,  0,  0, 27,135,220,217,135, 10,  0,  0,  0,  0,  0
2/1990,  0,  0,  0,  0,  0,  7, 76,188,192,162, 47,  0,  0,  0,  0,  0
3/1990,  0,  0,  0,  0,  0,  3, 49,189,211,178,109,  5,  0,  0,  0,  0
4/1990,  0,  0,  0,  0,  0,  4, 41, 82,162,232,154, 45,  0,  0,  0,  0
5/1990,  0,  0,  0,  0,  0,  0,  0,  1, 62,202,311,168,  0,  0,  0,  0
6/1990,  0,  0,  0,  0,  0,  0,  0,  0,  0, 23,249,374, 74,  0,  0,  0
7/1990,  0,  0,  0,  0,  0,  0,  0,  0,  0, 23,261,353,107,  0,  0,  0
